unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.62E+12,10/03/2021 19:00,BTC/USDT,56730.55,57387.69,56595.76,56739.4,3678.781434,209778225.6,113397
1.62E+12,10/03/2021 18:00,BTC/USDT,56860.01,57100,56566,56730.54,3021.749446,171672296.5,112253
1.62E+12,10/03/2021 17:00,BTC/USDT,57009.53,57100,56366,56860.01,4201.856361,238726485.2,112830
1.62E+12,10/03/2021 16:00,BTC/USDT,56328.81,57075.92,56100,57009.53,4890.442021,276608476.2,158136
1.62E+12,10/03/2021 15:00,BTC/USDT,56092.62,56489.66,55952.63,56328.81,3869.229294,217544118.1,119846
1.62E+12,10/03/2021 14:00,BTC/USDT,56260.09,56400,55761.66,56092.62,4222.239446,236711475.7,105277
1.62E+12,10/03/2021 13:00,BTC/USDT,55219.99,56333,55139.01,56262.56,5022.454307,280601614.9,168592
1.62E+12,10/03/2021 12:00,BTC/USDT,54858.47,55481.28,54834,55219.99,2894.179492,159715138.2,96315
1.62E+12,10/03/2021 11:00,BTC/USDT,54832.99,54991,54512,54858.47,2400.099796,131435336.5,72473
1.62E+12,10/03/2021 10:00,BTC/USDT,55228,55389,54679.95,54832.98,2604.477482,143232395.1,74415
1.62E+12,10/03/2021 09:00,BTC/USDT,54632.78,55444,54300.11,55227.99,3499.580512,192174619.4,117610
1.62E+12,10/03/2021 08:00,BTC/USDT,54177.47,54734.96,54032.38,54632.79,2225.610269,121263076.1,68375
1.62E+12,10/03/2021 07:00,BTC/USDT,53864.4,54407.74,53826.26,54173.38,3010.885728,163063922,73576
1.62E+12,10/03/2021 06:00,BTC/USDT,53651.38,54065.65,53510.01,53864.41,2538.97931,136586624.9,66401
1.62E+12,10/03/2021 05:00,BTC/USDT,53647.63,53692.21,53005,53651.39,2203.223101,117817036.4,61148
1.62E+12,10/03/2021 04:00,BTC/USDT,53468.33,53837.16,53332.46,53647.63,1979.670658,106022641.8,90802
1.62E+12,10/03/2021 03:00,BTC/USDT,53936.43,54126.67,53134.8,53467.8,3497.096744,187553477.5,128407
1.62E+12,10/03/2021 02:00,BTC/USDT,54676.86,54676.87,53300,53936.44,5819.532147,313787381.4,184750
1.62E+12,10/03/2021 01:00,BTC/USDT,55510.01,55813.09,54468.26,54676.87,3691.175872,203388526.3,108462
1.62E+12,10/03/2021 00:00,BTC/USDT,54874.67,55763,54782.93,55510,5030.931259,278163888.8,123240
1.62E+12,09/03/2021 23:00,BTC/USDT,54808.76,54895,54474.99,54884.5,1948.879608,106591056.7,68074
1.62E+12,09/03/2021 22:00,BTC/USDT,54278.61,54860.28,54139.1,54808.75,1795.944555,97889012.5,110379
1.62E+12,09/03/2021 21:00,BTC/USDT,54326.14,54519.47,53882.52,54278.61,2200.557782,119259801,107247
1.62E+12,09/03/2021 20:00,BTC/USDT,54108.79,54584.19,54052.76,54326.14,2231.220655,121220201.9,64958
1.62E+12,09/03/2021 19:00,BTC/USDT,53885.96,54225.35,53790,54108.79,1688.787963,91204342.11,52793
1.62E+12,09/03/2021 18:00,BTC/USDT,53793.75,54046.78,53626.97,53885.96,1917.18194,103252758,64916
1.62E+12,09/03/2021 17:00,BTC/USDT,54098.1,54272.05,53770.71,53793.76,1643.376244,88748904.97,55343
1.62E+12,09/03/2021 16:00,BTC/USDT,54097.03,54338,53750,54098.11,2509.812945,135766937.1,81155
1.62E+12,09/03/2021 15:00,BTC/USDT,54491.33,54515.22,53852.36,54097.02,3283.758878,178144082.6,87761
1.62E+12,09/03/2021 14:00,BTC/USDT,54780.26,54787.99,54364.32,54488.22,3828.422728,208801703.4,88343
1.62E+12,09/03/2021 13:00,BTC/USDT,53725.49,54815.84,53664.21,54779.99,4188.622682,227723165.9,95413
